"Name","dataset","model","time_elapsed","time_elapsed_std","Agent","User","Tags","Created","Runtime","Sweep","add_hp","add_lp","adjoint","adjoint_method","adjoint_step_size","command","cuda","d","deg_normalised","device","dropout","early_stopping","early_terminate.min_iter","early_terminate.type","earlystopxT","edge_weights","entity","epochs","evectors","folds","graph_size","hidden_channels","input_dim","input_dropout","layers","left_weights","linear","lr","max_iters","max_nfe","max_t","max_test_steps","method","metric.goal","metric.name","min_acc","no_early","normalised","orth","output_dim","parameters.add_hp.distribution","parameters.add_hps","parameters.add_lp.distribution","parameters.add_lps","parameters.ds","parameters.datasets","parameters.dropout","parameters.dropouts","parameters.early_stopping","parameters.epochs","parameters.hidden_channelss","parameters.input_dropout","parameters.input_dropouts","parameters.layerss","parameters.lr","parameters.lrs","parameters.models","parameters.sample_budget","parameters.weight_decay","program","right_weights","sample_budget","sampler","second_linear","seed","sheaf_act","sheaf_decay","sparse_learner","step_size","stop_strategy","tol_scale","tol_scale_adjoint","use_act","weight_decay","best_epoch","best_test_acc","best_val_acc","fold0_tmp_test_acc","fold0_tmp_test_loss","fold0_train_acc","fold0_train_loss","fold0_val_acc","fold0_val_loss","test_acc","test_acc_std","val_acc"
"astral-sweep-40","texas","SampleBundleSheaf_4","0.01871140907867811","0.0012153821216102105","","","","2025-06-07T06:01:00.000Z","46","qtproi57","0","0","false","adaptive_heun","1","","0","32","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","183","16","1703","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","5","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","83","0.8378378378378378","0.8305084745762712","0.7567567567567568","0.7114499807357788","1","0.02430068515241146","0.7796610169491526","0.7245916724205017","83.78378378378379","6.043426966215648","1"
"fancy-sweep-39","texas","SampleBundleSheaf_2","0.018975186867406596","0.0015993396116668365","","","","2025-06-07T06:00:08.000Z","46","qtproi57","0","0","false","adaptive_heun","1","","0","32","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","183","16","1703","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","5","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","93","0.8108108108108109","0.7796610169491526","0.7567567567567568","0.6800934672355652","1","0.02653675153851509","0.7457627118644068","0.7260459661483765","82.70270270270271","4.045035012728585","1"
"clear-sweep-38","texas","SampleBundleSheaf_1","0.01831852870061994","0.0010408398090273473","","","","2025-06-07T05:59:21.000Z","42","qtproi57","0","0","false","adaptive_heun","1","","0","32","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","183","16","1703","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","5","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","93","0.8108108108108109","0.7796610169491526","0.7567567567567568","0.6932234764099121","1","0.02607799880206585","0.7966101694915254","0.7234232425689697","82.70270270270271","4.391372110614031","1"
"summer-sweep-37","texas","BundleSheaf","0.01692969702347182","0.001048162989399004","","","","2025-06-07T05:58:33.000Z","44","qtproi57","0","0","false","adaptive_heun","1","","0","32","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","183","16","1703","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","5","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","8","0.7567567567567568","0.576271186440678","0.7837837837837838","1.497471809387207","1","0.0026925576385110617","0.8305084745762712","1.062875747680664","76.75675675675674","5.821799791496762","1"
"vital-sweep-36","cora","SampleBundleSheaf_4","0.02441246788529679","0.0017948576905350323","","","","2025-06-07T05:55:46.000Z","160","qtproi57","0","0","false","adaptive_heun","1","","0","16","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","2708","16","1433","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","7","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","47","0.7283702213279678","0.7349246231155779","0.641851106639839","1.391989827156067","0.9958053691275168","0.057102080434560776","0.6884422110552764","1.1748268604278564","72.95774647887325","1.8598342065660112","1"
"worldly-sweep-35","cora","SampleBundleSheaf_2","0.023769687207182873","0.001049891740266716","","","","2025-06-07T05:52:58.000Z","160","qtproi57","0","0","false","adaptive_heun","1","","0","16","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","2708","16","1433","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","7","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","47","0.7464788732394366","0.75","0.710261569416499","1.0289242267608645","1","0.07358823716640472","0.7311557788944724","0.9005320072174072","74.1046277665996","1.9508803645353736","1"
"neat-sweep-34","cora","SampleBundleSheaf_1","0.022634559365222233","0.0016886059478096874","","","","2025-06-07T05:50:21.000Z","153","qtproi57","0","0","false","adaptive_heun","1","","0","16","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","2708","16","1433","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","7","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","53","0.744466800804829","0.7462311557788944","0.7263581488933601","0.9801809191703796","1","0.06802225112915039","0.7474874371859297","0.8372775316238403","74.04426559356136","2.2799542010809337","1"
"curious-sweep-33","cora","BundleSheaf","0.02799656544975005","0.0008128052730943967","","","","2025-06-07T05:47:54.000Z","142","qtproi57","0","0","false","adaptive_heun","1","","0","16","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","2708","16","1433","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","7","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","13","0.5171026156941649","0.5125628140703518","0.5875251509054326","2.0260844230651855","1","0.028284041211009026","0.585427135678392","2.0225329399108887","51.73038229376259","3.48901714686964","1"
"eager-sweep-32","wisconsin","SampleBundleSheaf_4","0.01362454123725183","0.001135410640136218","","","","2025-06-07T05:47:07.000Z","39","qtproi57","0","0","false","adaptive_heun","1","","0","16","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","251","16","1703","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","5","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","55","0.8823529411764706","0.8625","0.7254901960784313","0.9000744819641113","1","0.03417993709445","0.8375","0.4121290147304535","83.72549019607843","3.725490196078433","1"
"flowing-sweep-31","wisconsin","SampleBundleSheaf_2","0.01386102925846353","0.0014093571504626835","","","","2025-06-07T05:46:19.000Z","40","qtproi57","0","0","false","adaptive_heun","1","","0","16","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","251","16","1703","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","5","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","86","0.9215686274509804","0.8375","0.8235294117647058","0.6515664458274841","1","0.031421925872564316","0.85","0.3956141173839569","85.88235294117646","3.137254901960783","1"
"blooming-sweep-30","wisconsin","SampleBundleSheaf_1","0.013724997027544306","0.0009749306381190804","","","","2025-06-07T05:45:37.000Z","39","qtproi57","0","0","false","adaptive_heun","1","","0","16","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","251","16","1703","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","5","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","68","0.9019607843137256","0.8125","0.8235294117647058","0.6591750979423523","1","0.0374632366001606","0.8625","0.41047582030296326","86.07843137254902","3.766543669078147","1"
"exalted-sweep-29","wisconsin","BundleSheaf","0.012057347210589797","0.0009734338909211762","","","","2025-06-07T05:44:55.000Z","35","qtproi57","0","0","false","adaptive_heun","1","","0","16","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","251","16","1703","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","5","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","13","0.7450980392156863","0.7625","0.7843137254901961","2.2464513778686523","1","0.000981001649051905","0.775","2.048983335494995","75.29411764705883","4.898037645802666","1"
"fallen-sweep-28","texas","SampleBundleSheaf_4","0.01386923204525374","0.001151981198756617","","","","2025-06-07T05:44:13.000Z","37","qtproi57","0","0","false","adaptive_heun","1","","0","16","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","183","16","1703","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","5","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","98","0.8918918918918919","0.7627118644067796","0.8108108108108109","1.0851986408233645","1","0.012471841648221016","0.7457627118644068","0.812353253364563","84.05405405405405","4.750917792228905","1"
"valiant-sweep-27","texas","SampleBundleSheaf_2","0.01397636361280456","0.0011128174430953082","","","","2025-06-07T05:43:31.000Z","37","qtproi57","0","0","false","adaptive_heun","1","","0","16","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","183","16","1703","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","5","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","95","0.8378378378378378","0.7796610169491526","0.7567567567567568","0.6287132501602173","1","0.021610982716083527","0.7627118644067796","0.6850879192352295","84.5945945945946","4.689013938620938","1"
"rare-sweep-26","texas","SampleBundleSheaf_1","0.013450907748658212","0.0010011935998887477","","","","2025-06-07T05:42:49.000Z","37","qtproi57","0","0","false","adaptive_heun","1","","0","16","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","183","16","1703","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","5","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","75","0.8918918918918919","0.7457627118644068","0.7567567567567568","0.683135986328125","1","0.028840379789471623","0.7627118644067796","0.7382529973983765","84.05405405405405","4.594594594594594","1"
"laced-sweep-25","texas","BundleSheaf","0.01202819288452156","0.001070277468402552","","","","2025-06-07T05:42:12.000Z","34","qtproi57","0","0","false","adaptive_heun","1","","0","16","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","183","16","1703","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","5","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","11","0.7837837837837838","0.5932203389830508","0.7837837837837838","1.535447597503662","1","0.002059257822111249","0.8305084745762712","0.9337915778160096","76.21621621621622","4.649905549752771","1"
"solar-sweep-24","cora","SampleBundleSheaf_4","0.014748312504962087","0.001485140595488693","","","","2025-06-07T05:40:01.000Z","125","qtproi57","0","0","false","adaptive_heun","1","","0","8","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","2708","16","1433","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","7","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","31","0.7002012072434608","0.7185929648241206","0.6800804828973843","1.2285964488983154","1","0.04330985248088837","0.6922110552763819","1.1177064180374146","69.5774647887324","2.6826291046276003","1"
"twilight-sweep-23","cora","SampleBundleSheaf_2","0.0148824865706265","0.0026983842207170417","","","","2025-06-07T05:37:50.000Z","126","qtproi57","0","0","false","adaptive_heun","1","","0","8","false","cuda:0","0.1","200","","","3","true","${ENTITY}","100","0","10","2708","16","1433","0.1","2","true","false","0.01","100","1000","1","100","","","","0","false","true","householder","7","","","","","","","","","","","","","","","","","","","","","true","10","uniform","false","43","elu","0.0005","true","1","loss","1","1","true","0.0005","51","0.7404426559356136","0.7437185929648241","0.6901408450704225","1.1036107540130615","0.9991610738255032","0.05860268324613571","0.7185929648241206","0.929302990436554","73.09859154929578","1.8198969937643457","1"
